Abdelghani Loucif,91,GK,FRANCE,fr,Yes,legend,
Abdelwahab Hadji,78,GK,FRANCE,fr,Yes,rare,
Mostafa Abada,77,GK,FRANCE,fr,Yes,rare,
Abderrahim Amrani,75,GK,FRANCE,fr,Yes,rare,
Nadir Hani,71,GK,FRANCE,fr,Yes,uncommon,
Abdelghani Loucif,91,GK,ALGERIA,dz,Yes,legend,
Abdelwahab Hadji,78,GK,ALGERIA,dz,Yes,rare,
Mostafa Abada,77,GK,ALGERIA,dz,Yes,rare,
Abderrahim Amrani,75,GK,ALGERIA,dz,Yes,rare,
Nadir Hani,71,GK,ALGERIA,dz,Yes,uncommon,
El Hadj Nouri,81,LB,ALGERIA,dz,Yes,rare,
Sidi Benabdallah,69,LB,ALGERIA,dz,Yes,uncommon,
Med Benattia,62,LB,ALGERIA,dz,Yes,common,
Meziane Merzougui,61,LB,ALGERIA,dz,Yes,common,
Lazhar Charef,53,LB,ALGERIA,dz,Yes,common,
Ibrahim Rabahi,75,LWB,ALGERIA,dz,Yes,rare,
Soufiane Boukhatem,60,LWB,ALGERIA,dz,Yes,common,
Kouider Dib,90,CB,ALGERIA,dz,Yes,legend,
Moulay Kaouane,76,CB,ALGERIA,dz,Yes,rare,
Madjid Bettahar,74,CB,ALGERIA,dz,Yes,uncommon,
Abderrezak Benseghir,71,CB,ALGERIA,dz,Yes,uncommon,
Mahdi Daoui,68,CB,ALGERIA,dz,Yes,uncommon,
Abdelhamid Beldjillali,78,RB,ALGERIA,dz,Yes,rare,
Yassine Boukhatem,71,RB,ALGERIA,dz,Yes,uncommon,
Toufik Boussaha,70,RB,ALGERIA,dz,Yes,uncommon,
Akli Kacemi,63,RB,ALGERIA,dz,Yes,common,
Idir Barka,59,RB,ALGERIA,dz,Yes,common,
Elhadj Benali,67,RWB,ALGERIA,dz,Yes,uncommon,
Hakim Alioua,44,RWB,ALGERIA,dz,Yes,common,
Ridha Fares,81,CDM,ALGERIA,dz,Yes,rare,
Abdelhadi Hadji,74,CDM,ALGERIA,dz,Yes,uncommon,
Azzeddine Halfaoui,71,CDM,ALGERIA,dz,Yes,uncommon,
Reda Litim,69,CDM,ALGERIA,dz,Yes,uncommon,
Hamid Bouteraa,65,CDM,ALGERIA,dz,Yes,uncommon,
Aziz Talhi,82,CM,ALGERIA,dz,Yes,rare,
